Section,,Jun 2023,Mar 2024,Jun 2024,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,93.55,90.36,91.74,,,,,,,,,,,,,,,
Quarterly Results,Expenses,87.49,83.76,86.48,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,6.06,6.60,5.26,,,,,,,,,,,,,,,
Quarterly Results,OPM %,6.48%,7.30%,5.73%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.20,0.60,0.32,,,,,,,,,,,,,,,
Quarterly Results,Interest,2.05,1.62,1.09,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.93,0.95,0.93,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,3.28,4.63,3.56,,,,,,,,,,,,,,,
Quarterly Results,Tax %,16.16%,33.05%,29.21%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,2.76,3.10,2.52,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.92,1.03,0.84,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,389,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,369,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,21,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,5%,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,2,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,8,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,4,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,11,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,30%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,8,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,2.52,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,58.33%,58.33%,58.33%,58.33%,58.33%,58.33%,58.33%,58.33%,58.33%,58.33%,60.12%,60.12%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,0.12%,,,,,,
Shareholding Pattern (Quarterly),Public,41.65%,41.65%,41.67%,41.67%,41.66%,41.67%,41.66%,41.67%,41.68%,41.50%,39.87%,39.76%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,12397,14762,13960,13966,13628,13110,12583,12323,12140,15324,16335,17312,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,58.33%,,,,,58.33%,,,,,60.12%,58.33%,58.33%,58.33%,58.33%,58.33%,58.33%
Shareholding Pattern (Yearly),FIIs,,0.01%,,,,,0.00%,,,,,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Government,,0.00%,,,,,0.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.41%,0.00%
Shareholding Pattern (Yearly),Public,,41.65%,,,,,41.66%,,,,,39.76%,41.67%,41.67%,41.67%,41.67%,41.26%,41.67%
Shareholding Pattern (Yearly),No. of Shareholders,,14762,,,,,12583,,,,,17312,3654,5816,5357,5398,5341,13976
,,,,,,,,,,,,,,,,,,,
