Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,56.11%,56.11%,56.11%,56.11%,56.11%,56.11%,56.11%,56.11%,56.11%,56.11%,56.11%,56.11%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.86%,0.83%,0.86%,0.93%,0.95%,0.98%,1.07%,1.25%,1.40%,1.88%,1.34%,1.38%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.17%,0.16%,0.17%,0.00%,0.00%,0.03%,0.12%,0.21%,0.21%,0.23%,0.25%,0.15%,,,,,,
Shareholding Pattern (Quarterly),Public,42.86%,42.89%,42.85%,42.96%,42.93%,42.89%,42.70%,42.43%,42.28%,41.78%,42.30%,42.35%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,73929,72830,73385,72449,70618,64560,62162,60599,56668,54152,55708,54515,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,56.11%,,,,56.11%,,,,56.11%,56.11%,56.11%,56.11%,56.11%,56.11%,56.11%
Shareholding Pattern (Yearly),FIIs,,,,0.93%,,,,1.25%,,,,1.38%,0.83%,5.97%,4.05%,2.11%,0.79%,0.79%
Shareholding Pattern (Yearly),DIIs,,,,0.00%,,,,0.21%,,,,0.15%,0.07%,0.07%,0.21%,0.27%,0.15%,0.15%
Shareholding Pattern (Yearly),Public,,,,42.96%,,,,42.43%,,,,42.35%,42.99%,37.85%,39.64%,41.52%,42.96%,42.96%
Shareholding Pattern (Yearly),No. of Shareholders,,,,72449,,,,60599,,,,54515,21318,29089,43143,52326,73987,73987
,,,,,,,,,,,,,,,,,,,
