Section,,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,0.22,0.04,0.28,0.28,0.30,0.32,0.54,0.70,0.34,0.46,0.45,0.42,0.51,,,,,,,,,,
Quarterly Results,Expenses,0.14,-0.11,0.05,0.19,0.16,0.24,0.10,0.13,0.20,0.50,0.24,0.22,0.33,,,,,,,,,,
Quarterly Results,Operating Profit,0.08,0.15,0.23,0.09,0.14,0.08,0.44,0.57,0.14,-0.04,0.21,0.20,0.18,,,,,,,,,,
Quarterly Results,OPM %,36.36%,375.00%,82.14%,32.14%,46.67%,25.00%,81.48%,81.43%,41.18%,-8.70%,46.67%,47.62%,35.29%,,,,,,,,,,
Quarterly Results,Other Income,0.00,0.02,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Quarterly Results,Interest,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.08,0.04,0.03,0.04,0.06,,,,,,,,,,
Quarterly Results,Depreciation,0.01,0.01,0.01,0.02,0.03,0.02,0.09,0.09,0.09,0.09,0.09,0.09,0.09,,,,,,,,,,
Quarterly Results,Profit before tax,0.06,0.15,0.21,0.06,0.09,0.08,0.32,0.44,-0.03,-0.17,0.09,0.07,0.03,,,,,,,,,,
Quarterly Results,Tax %,33.33%,40.00%,28.57%,33.33%,22.22%,25.00%,25.00%,25.00%,-33.33%,-23.53%,22.22%,28.57%,33.33%,,,,,,,,,,
Quarterly Results,Net Profit,0.04,0.09,0.16,0.05,0.07,0.06,0.24,0.32,-0.03,-0.13,0.07,0.05,0.03,,,,,,,,,,
Quarterly Results,EPS in Rs,0.00,0.01,0.01,0.00,0.00,0.00,0.02,0.02,-0.00,-0.01,0.00,0.00,0.00,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,0.94,,,,1.22,,,,2.09,,,,1.37,1.72,2.31,1.76,0.99,1.38,,,,
