Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2017,Mar 2018,Mar 2019
Quarterly Results,Sales,420,480,365,357,452,448,339,344,396,458,308,351,426,,,,,
Quarterly Results,Expenses,368,416,340,331,427,412,326,330,372,418,305,340,381,,,,,
Quarterly Results,Operating Profit,52,64,25,26,25,36,13,14,24,39,4,11,44,,,,,
Quarterly Results,OPM %,12%,13%,7%,7%,6%,8%,4%,4%,6%,9%,1%,3%,10%,,,,,
Quarterly Results,Other Income,3,3,2,-1,3,2,2,2,4,2,2,2,3,,,,,
Quarterly Results,Interest,3,3,4,7,8,8,8,10,9,11,11,11,11,,,,,
Quarterly Results,Depreciation,11,11,13,13,13,14,14,15,17,16,16,16,16,,,,,
Quarterly Results,Profit before tax,41,52,10,5,7,16,-6,-9,2,14,-22,-14,20,,,,,
Quarterly Results,Tax %,27%,26%,27%,31%,35%,27%,-20%,-20%,40%,27%,-24%,-23%,28%,,,,,
Quarterly Results,Net Profit,30,39,7,3,4,12,-5,-7,1,10,-17,-11,15,,,,,
Quarterly Results,EPS in Rs,3.45,4.46,0.85,0.39,0.50,1.38,-0.59,-0.83,0.13,1.15,-1.92,-1.27,1.69,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1416,,,,1653,,,,1527,,,,1543,1050,1147,,,
Profit & Loss,Expenses,1216,,,,1513,,,,1439,,,,1444,942,953,,,
Profit & Loss,Operating Profit,200,,,,141,,,,88,,,,99,109,193,,,
Profit & Loss,OPM %,14%,,,,9%,,,,6%,,,,6%,10%,17%,,,
Profit & Loss,Other Income,10,,,,5,,,,11,,,,8,7,9,,,
Profit & Loss,Interest,12,,,,22,,,,37,,,,44,17,13,,,
Profit & Loss,Depreciation,38,,,,50,,,,59,,,,65,41,40,,,
Profit & Loss,Profit before tax,161,,,,74,,,,3,,,,-2,57,149,,,
Profit & Loss,Tax %,26%,,,,27%,,,,72%,,,,50%,14%,26%,,,
Profit & Loss,Net Profit,118,,,,54,,,,1,,,,-3,49,111,,,
Profit & Loss,EPS in Rs,13.69,,,,6.20,,,,0.10,,,,-0.35,6.21,13.43,,,
Profit & Loss,Dividend Payout %,22%,,,,32%,,,,503%,,,,-144%,48%,22%,,,
,,,,,,,,,,,,,,,,,,,
