Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 201418m,Mar 20156m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2014,Mar 2015
Quarterly Results,Sales,134,117,124,126,133,146,144,146,139,131,161,133,172,,,,,,,,,,
Quarterly Results,Expenses,122,120,118,119,119,133,127,124,121,120,141,120,142,,,,,,,,,,
Quarterly Results,Operating Profit,13,-3,6,6,14,13,17,21,18,11,20,14,30,,,,,,,,,,
Quarterly Results,OPM %,10%,-3%,5%,5%,11%,9%,12%,15%,13%,8%,12%,10%,17%,,,,,,,,,,
Quarterly Results,Other Income,77,2,1,0,-3,1,1,1,26,1,2,1,2,,,,,,,,,,
Quarterly Results,Interest,5,3,4,7,8,6,8,8,7,8,10,10,9,,,,,,,,,,
Quarterly Results,Depreciation,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Quarterly Results,Profit before tax,82,-7,-1,-3,1,5,7,10,34,1,8,1,19,,,,,,,,,,
Quarterly Results,Tax %,-1%,-3%,25%,8%,-11%,6%,-2%,-0%,1%,0%,2%,5%,-6%,,,,,,,,,,
Quarterly Results,Net Profit,83,-7,-1,-3,1,5,7,10,34,1,8,1,20,,,,,,,,,,
Quarterly Results,EPS in Rs,25.27,-2.21,-0.27,-1.00,0.31,1.43,2.25,3.14,10.27,0.32,2.45,0.37,6.18,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,511,,,,485,,,,557,,,,600,661,250,420,432,370,391,367,392,,
Profit & Loss,Expenses,475,,,,459,,,,484,,,,523,637,228,387,414,438,375,344,374,,
Profit & Loss,Operating Profit,36,,,,26,,,,73,,,,76,25,21,33,19,-68,16,23,18,,
Profit & Loss,OPM %,7%,,,,5%,,,,13%,,,,13%,4%,9%,8%,4%,-18%,4%,6%,5%,,
