Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,455.07,537.92,572.43,611.45,556.37,614.54,614.73,600.25,562.28,616.33,618.01,653.72,603.14,,,,,,,,
Quarterly Results,Expenses,392.15,450.66,476.50,509.26,467.70,510.38,516.51,508.23,487.35,537.71,541.99,565.58,526.10,,,,,,,,
Quarterly Results,Operating Profit,62.92,87.26,95.93,102.19,88.67,104.16,98.22,92.02,74.93,78.62,76.02,88.14,77.04,,,,,,,,
Quarterly Results,OPM %,13.83%,16.22%,16.76%,16.71%,15.94%,16.95%,15.98%,15.33%,13.33%,12.76%,12.30%,13.48%,12.77%,,,,,,,,
Quarterly Results,Other Income,13.11,1.81,5.19,7.75,5.59,5.28,3.30,4.70,5.18,5.11,6.47,2.94,9.95,,,,,,,,
Quarterly Results,Interest,20.86,21.52,22.54,23.37,25.33,26.01,27.38,28.12,28.21,29.83,31.57,32.92,32.82,,,,,,,,
Quarterly Results,Depreciation,34.63,35.79,36.63,38.56,41.20,42.85,43.94,45.50,49.94,49.38,50.21,51.67,52.84,,,,,,,,
Quarterly Results,Profit before tax,20.54,31.76,41.95,48.01,27.73,40.58,30.20,23.10,1.96,4.52,0.71,6.49,1.33,,,,,,,,
Quarterly Results,Tax %,25.46%,25.76%,24.82%,24.24%,27.55%,28.98%,25.96%,25.32%,60.71%,27.88%,49.30%,-8.01%,-14.29%,,,,,,,,
Quarterly Results,Net Profit,15.32,23.58,31.54,36.37,20.09,28.83,22.37,17.24,0.76,3.25,0.36,7.01,1.52,,,,,,,,
Quarterly Results,EPS in Rs,0.98,1.51,2.02,2.33,1.29,1.85,1.43,1.11,0.05,0.21,0.02,0.45,0.10,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
