Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2017
Quarterly Results,Sales,1707,2081,1612,1302,1673,2039,1522,1536,1734,2497,1713,1705,2005,,,,,
Quarterly Results,Expenses,1559,1949,1523,1258,1567,1915,1448,1473,1590,2286,1626,1636,1822,,,,,
Quarterly Results,Operating Profit,148,132,89,44,106,123,73,63,144,211,87,69,183,,,,,
Quarterly Results,OPM %,9%,6%,6%,3%,6%,6%,5%,4%,8%,8%,5%,4%,9%,,,,,
Quarterly Results,Other Income,13,32,22,41,32,35,34,36,41,51,49,51,47,,,,,
Quarterly Results,Interest,5,3,3,4,6,7,6,9,9,10,11,9,14,,,,,
Quarterly Results,Depreciation,44,47,42,45,52,52,49,47,62,56,52,51,54,,,,,
Quarterly Results,Profit before tax,113,114,67,36,80,99,52,42,114,196,73,59,162,,,,,
Quarterly Results,Tax %,25%,26%,27%,26%,20%,22%,27%,29%,30%,26%,27%,25%,26%,,,,,
Quarterly Results,Net Profit,84,85,49,27,64,77,38,30,79,145,54,45,119,,,,,
Quarterly Results,EPS in Rs,6.61,6.60,3.78,1.95,4.94,5.90,2.88,2.21,6.12,11.34,4.10,3.46,9.40,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,6197,,,,6668,,,,6830,,,,7919,4832,5398,5993,5900,
Profit & Loss,Expenses,5781,,,,6297,,,,6427,,,,7369,4271,4755,5319,5379,
Profit & Loss,Operating Profit,416,,,,371,,,,403,,,,550,561,642,673,521,
Profit & Loss,OPM %,7%,,,,6%,,,,6%,,,,7%,12%,12%,11%,9%,
Profit & Loss,Other Income,398,,,,127,,,,145,,,,198,86,107,143,106,
Profit & Loss,Interest,16,,,,15,,,,30,,,,45,4,9,20,15,
Profit & Loss,Depreciation,147,,,,185,,,,210,,,,213,102,111,129,142,
