Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,97.79,93.40,91.17,86.84,101.03,95.10,100.75,107.45,119.23,110.20,115.66,106.85,124.65,,,,,,,,
Quarterly Results,Expenses,88.65,84.47,81.83,79.92,93.78,86.83,92.28,94.86,104.04,97.35,103.17,94.02,108.26,,,,,,,,
Quarterly Results,Operating Profit,9.14,8.93,9.34,6.92,7.25,8.27,8.47,12.59,15.19,12.85,12.49,12.83,16.39,,,,,,,,
Quarterly Results,OPM %,9.35%,9.56%,10.24%,7.97%,7.18%,8.70%,8.41%,11.72%,12.74%,11.66%,10.80%,12.01%,13.15%,,,,,,,,
Quarterly Results,Other Income,1.67,0.66,0.64,3.59,1.08,0.74,1.88,0.99,1.60,0.73,1.29,1.50,1.18,,,,,,,,
Quarterly Results,Interest,2.24,1.87,2.26,2.71,2.96,2.67,1.94,1.87,1.98,1.87,2.21,3.06,3.26,,,,,,,,
Quarterly Results,Depreciation,2.63,2.91,3.12,3.32,3.24,3.50,3.61,3.69,3.84,4.13,3.29,4.60,5.18,,,,,,,,
Quarterly Results,Profit before tax,5.94,4.81,4.60,4.48,2.13,2.84,4.80,8.02,10.97,7.58,8.28,6.67,9.13,,,,,,,,
Quarterly Results,Tax %,30.30%,31.60%,40.22%,35.04%,71.83%,53.52%,24.17%,30.80%,27.62%,30.87%,15.46%,32.53%,14.02%,,,,,,,,
Quarterly Results,Net Profit,4.57,3.29,2.76,2.91,0.69,1.32,3.97,5.55,7.93,5.24,7.01,4.50,7.85,,,,,,,,
Quarterly Results,EPS in Rs,3.78,2.68,2.29,2.42,0.58,1.02,3.06,4.27,6.12,4.05,5.40,3.46,6.03,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,331,,,,372,,,,423,,,,457,166,186,199,208,268,339,242,213
Profit & Loss,Expenses,297,,,,339,,,,378,,,,402,158,178,191,203,245,310,227,199
Profit & Loss,Operating Profit,34,,,,33,,,,45,,,,55,9,8,8,6,23,29,15,14
Profit & Loss,OPM %,10%,,,,9%,,,,11%,,,,12%,5%,4%,4%,3%,8%,9%,6%,7%
Profit & Loss,Other Income,4,,,,5,,,,5,,,,4,3,2,1,-2,3,136,4,10
Profit & Loss,Interest,8,,,,10,,,,8,,,,10,4,5,5,7,8,8,11,10
Profit & Loss,Depreciation,10,,,,13,,,,15,,,,17,5,5,5,5,6,6,8,9
Profit & Loss,Profit before tax,19,,,,16,,,,27,,,,32,3,0,-1,-8,12,151,1,6
Profit & Loss,Tax %,32%,,,,40%,,,,30%,,,,22%,31%,-20%,33%,-39%,38%,21%,-443%,11%
Profit & Loss,Net Profit,14,,,,10,,,,19,,,,25,1,0,-2,-5,7,119,3,5
Profit & Loss,EPS in Rs,11.42,,,,7.98,,,,14.48,,,,18.94,0.70,0.14,-1.67,-3.88,5.92,99.50,2.61,4.38
Profit & Loss,Dividend Payout %,7%,,,,10%,,,,10%,,,,0%,54%,265%,-15%,-6%,8%,2%,23%,14%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,12,,,,13,,,,13,3,3,3,3,3,12,12,12
Balance Sheet,Reserves,179,,,,187,,,,267,,,,288,54,54,51,46,52,162,162,166
Balance Sheet,Borrowings,112,,,,119,,,,78,,,,99,36,38,58,68,73,111,129,106
Balance Sheet,Other Liabilities,177,,,,119,,,,122,,,,124,54,59,75,78,90,122,113,164
Balance Sheet,Total Liabilities,480,,,,438,,,,480,,,,524,148,154,188,194,218,407,415,448
Balance Sheet,Fixed Assets,142,,,,190,,,,207,,,,258,56,55,74,78,85,96,106,122
Balance Sheet,CWIP,16,,,,12,,,,20,,,,13,0,0,4,2,1,9,23,13
Balance Sheet,Investments,5,,,,8,,,,8,,,,12,5,4,4,4,4,4,4,4
Balance Sheet,Other Assets,316,,,,229,,,,244,,,,242,87,95,106,110,129,298,281,309
Balance Sheet,Total Assets,480,,,,438,,,,480,,,,524,148,154,188,194,218,407,415,448
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,2,,,,31,,,,32,,,,49,8,7,2,9,12,20,-3,17
Cash Flows,Cash from Investing Activity,-1,,,,-28,,,,-37,,,,-56,-2,-5,-16,-12,-9,-50,-1,19
Cash Flows,Cash from Financing Activity,-3,,,,-4,,,,12,,,,-1,-7,-3,14,3,-3,30,4,-32
Cash Flows,Net Cash Flow,-2,,,,-1,,,,8,,,,-8,-1,-0,0,0,0,0,-0,5
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,131,,,,112,,,,103,,,,93,112,105,110,111,107,103,118,158
Ratios,Inventory Days,381,,,,168,,,,153,,,,163,127,119,134,134,115,407,633,704
Ratios,Days Payable,155,,,,155,,,,102,,,,99,175,165,175,172,158,152,145,224
