Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,38.82,40.60,46.05,46.07,42.09,32.98,32.25,36.51,44.06,37.87,42.85,45.74,47.94,,,,,,,,
Quarterly Results,Expenses,42.67,42.74,45.96,47.56,46.05,38.71,35.81,40.02,50.64,47.08,46.56,49.88,52.06,,,,,,,,
Quarterly Results,Operating Profit,-3.85,-2.14,0.09,-1.49,-3.96,-5.73,-3.56,-3.51,-6.58,-9.21,-3.71,-4.14,-4.12,,,,,,,,
Quarterly Results,OPM %,-9.92%,-5.27%,0.20%,-3.23%,-9.41%,-17.37%,-11.04%,-9.61%,-14.93%,-24.32%,-8.66%,-9.05%,-8.59%,,,,,,,,
Quarterly Results,Other Income,3.27,1.88,1.76,0.96,43.01,1.96,-0.31,7.34,-0.11,6.32,2.50,1.52,3.07,,,,,,,,
Quarterly Results,Interest,1.36,1.68,1.77,1.84,1.54,1.45,1.78,1.67,1.85,1.89,1.89,1.94,2.22,,,,,,,,
Quarterly Results,Depreciation,4.37,4.51,4.45,4.42,4.32,4.16,5.04,4.78,5.05,5.06,5.16,5.07,5.11,,,,,,,,
Quarterly Results,Profit before tax,-6.31,-6.45,-4.37,-6.79,33.19,-9.38,-10.69,-2.62,-13.59,-9.84,-8.26,-9.63,-8.38,,,,,,,,
Quarterly Results,Tax %,4.12%,5.27%,-19.22%,4.12%,-0.54%,-2.35%,2.25%,3.82%,-0.15%,-0.81%,70.58%,5.61%,-62.17%,,,,,,,,
Quarterly Results,Net Profit,-6.57,-6.79,-3.53,-7.07,33.37,-9.16,-10.93,-2.72,-13.57,-9.77,-14.08,-10.16,-3.18,,,,,,,,
Quarterly Results,EPS in Rs,-2.65,-2.74,-1.43,-2.86,12.84,-3.52,-4.20,-1.05,-5.22,-3.76,-5.42,-3.91,-1.22,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,127,,,,175,,,,146,,,,174,405,391,349,280,238,216,191,100
Profit & Loss,Expenses,143,,,,180,,,,163,,,,196,363,369,344,289,260,227,182,122
Profit & Loss,Operating Profit,-17,,,,-5,,,,-18,,,,-21,42,22,5,-8,-22,-11,9,-22
Profit & Loss,OPM %,-13%,,,,-3%,,,,-12%,,,,-12%,10%,6%,2%,-3%,-9%,-5%,5%,-22%
Profit & Loss,Other Income,26,,,,46,,,,8,,,,13,3,6,3,21,11,3,12,25
Profit & Loss,Interest,7,,,,8,,,,8,,,,8,5,5,5,5,5,6,15,10
Profit & Loss,Depreciation,19,,,,18,,,,19,,,,20,10,10,11,12,11,11,35,23
Profit & Loss,Profit before tax,-16,,,,16,,,,-36,,,,-36,31,13,-8,-4,-26,-25,-30,-30
Profit & Loss,Tax %,-1%,,,,-3%,,,,0%,,,,3%,28%,29%,-2%,3%,-10%,7%,-4%,-1%
Profit & Loss,Net Profit,-16,,,,16,,,,-36,,,,-37,22,9,-8,-4,-23,-27,-29,-29
Profit & Loss,EPS in Rs,-6.61,,,,6.15,,,,-13.99,,,,-14.31,11.35,4.62,-4.21,-2.24,-12.03,-12.58,-12.89,-11.87
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,40%,67%,-24%,-45%,-8%,-8%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,25,,,,26,,,,26,,,,26,19,20,20,20,20,21,22,25
Balance Sheet,Reserves,222,,,,253,,,,220,,,,180,241,248,243,280,268,283,237,231
Balance Sheet,Borrowings,73,,,,64,,,,86,,,,94,50,58,72,59,67,64,142,90
Balance Sheet,Other Liabilities,39,,,,33,,,,46,,,,50,79,71,62,52,56,41,39,34
Balance Sheet,Total Liabilities,359,,,,376,,,,378,,,,350,389,396,396,410,411,409,440,380
Balance Sheet,Fixed Assets,125,,,,116,,,,139,,,,143,123,131,142,142,135,128,193,151
Balance Sheet,CWIP,3,,,,3,,,,6,,,,1,4,6,5,3,3,3,2,1
Balance Sheet,Investments,51,,,,84,,,,65,,,,38,50,48,64,72,56,54,28,36
Balance Sheet,Other Assets,181,,,,174,,,,168,,,,167,212,210,184,193,217,224,217,191
Balance Sheet,Total Assets,359,,,,376,,,,378,,,,350,389,396,396,410,411,409,440,380
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-5,,,,1,,,,-5,,,,-14,39,14,19,3,-37,-25,11,-9
Cash Flows,Cash from Investing Activity,7,,,,16,,,,17,,,,27,-18,-16,-38,16,34,-10,33,8
Cash Flows,Cash from Financing Activity,-10,,,,-15,,,,-15,,,,-13,-10,-1,7,-17,1,35,-36,-2
Cash Flows,Net Cash Flow,-8,,,,2,,,,-3,,,,-0,11,-3,-12,2,-1,-1,7,-2
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,62,,,,52,,,,53,,,,43,38,40,32,29,45,39,33,65
Ratios,Inventory Days,456,,,,273,,,,353,,,,320,157,169,185,221,291,428,471,648
Ratios,Days Payable,187,,,,107,,,,202,,,,187,83,78,78,92,136,108,120,196
Ratios,Cash Conversion Cycle,331,,,,217,,,,204,,,,176,112,131,140,159,200,359,384,517
Ratios,Working Capital Days,237,,,,175,,,,177,,,,151,71,81,81,123,169,208,229,370
Ratios,ROCE %,-3%,,,,-4%,,,,-8%,,,,-9%,11%,5%,-1%,-2%,-6%,-4%,-4%,-5%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,69.98%,69.97%,69.97%,71.40%,71.40%,71.40%,71.40%,71.40%,71.40%,71.40%,71.40%,71.40%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.01%,0.00%,0.04%,0.00%,0.00%,0.01%,0.02%,0.00%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,30.02%,30.02%,30.01%,28.58%,28.55%,28.59%,28.60%,28.59%,28.57%,28.60%,28.59%,28.58%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,8989,9334,9097,8801,8794,9765,10386,10379,11338,11155,10774,10754,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,69.98%,,,,71.40%,,,,71.40%,,,,71.40%,,,,61.55%,61.45%,65.09%,66.93%,69.98%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.01%,,,,0.00%,,,,10.57%,10.20%,9.35%,8.82%,0.03%
Shareholding Pattern (Yearly),Public,30.02%,,,,28.58%,,,,28.59%,,,,28.58%,,,,27.88%,28.35%,25.55%,24.25%,29.99%
Shareholding Pattern (Yearly),No. of Shareholders,8901,,,,8801,,,,10379,,,,10754,,,,3702,4392,4062,3952,8041
,,,,,,,,,,,,,,,,,,,,,,
