Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2011,Mar 2012,Mar 2014,Mar 2015,Mar 2019,Mar 2020,Mar 2021,Apr 2025,Mar 2018
Quarterly Results,Sales,31,29,39,35,37,39,45,47,50,56,67,72,97,,,,,,,,,
Quarterly Results,Expenses,31,28,34,35,36,37,41,44,51,58,68,78,95,,,,,,,,,
Quarterly Results,Operating Profit,0,1,5,0,1,1,4,3,-1,-1,-1,-6,2,,,,,,,,,
Quarterly Results,OPM %,0%,5%,12%,0%,3%,3%,10%,7%,-3%,-2%,-1%,-8%,3%,,,,,,,,,
Quarterly Results,Other Income,1,0,1,1,1,0,0,0,0,0,1,1,1,,,,,,,,,
Quarterly Results,Interest,0,0,1,1,1,1,1,1,2,3,3,2,3,,,,,,,,,
Quarterly Results,Depreciation,2,2,3,3,4,3,5,5,7,8,10,11,14,,,,,,,,,
Quarterly Results,Profit before tax,-1,-0,2,-3,-3,-3,-1,-3,-10,-12,-13,-18,-14,,,,,,,,,
Quarterly Results,Tax %,1%,119%,58%,-4%,-15%,1%,49%,7%,-27%,5%,-4%,2%,-10%,,,,,,,,,
Quarterly Results,Net Profit,-1,-1,1,-3,-3,-3,-2,-3,-7,-13,-12,-19,-13,,,,,,,,,
Quarterly Results,EPS in Rs,-0.40,-0.33,0.36,-1.28,-1.05,-1.13,-0.64,-1.14,-2.68,-4.79,-4.41,-6.78,-4.50,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,131,,,,139,,,,180,,,,293,25,38,50,56,85,95,106,,
Profit & Loss,Expenses,116,,,,132,,,,173,,,,299,21,33,43,47,77,90,105,,
Profit & Loss,Operating Profit,15,,,,7,,,,8,,,,-6,4,5,6,8,8,5,1,,
Profit & Loss,OPM %,11%,,,,5%,,,,4%,,,,-2%,14%,13%,13%,15%,9%,5%,1%,,
Profit & Loss,Other Income,2,,,,2,,,,1,,,,2,0,0,0,0,2,2,2,,
Profit & Loss,Interest,0,,,,3,,,,5,,,,11,0,1,1,1,0,0,0,,
Profit & Loss,Depreciation,4,,,,12,,,,20,,,,43,0,1,1,2,1,2,3,,
Profit & Loss,Profit before tax,12,,,,-5,,,,-16,,,,-58,3,3,5,6,8,4,-0,,
Profit & Loss,Tax %,28%,,,,23%,,,,-11%,,,,-2%,34%,33%,33%,33%,29%,29%,-41%,,
Profit & Loss,Net Profit,9,,,,-6,,,,-14,,,,-57,2,2,3,4,6,3,-0,,
Profit & Loss,EPS in Rs,3.54,,,,-2.29,,,,-5.55,,,,-19.70,2.17,1.43,1.85,2.12,2.26,1.12,-0.09,,
Profit & Loss,Dividend Payout %,42%,,,,-44%,,,,-18%,,,,-5%,0%,50%,38%,34%,32%,90%,-1170%,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,25,,,,25,,,,26,,,,29,7,10,12,14,18,25,25,,
Balance Sheet,Reserves,64,,,,55,,,,64,,,,195,5,3,4,4,51,44,42,,
Balance Sheet,Borrowings,15,,,,45,,,,95,,,,140,3,6,5,5,0,0,0,,
Balance Sheet,Other Liabilities,35,,,,33,,,,43,,,,76,5,10,14,17,21,20,19,,
Balance Sheet,Total Liabilities,139,,,,158,,,,228,,,,439,20,29,35,40,90,88,85,,
Balance Sheet,Fixed Assets,29,,,,62,,,,103,,,,186,8,10,9,8,10,15,14,,
Balance Sheet,CWIP,0,,,,3,,,,5,,,,6,0,0,0,0,2,0,0,,
Balance Sheet,Investments,33,,,,8,,,,5,,,,54,0,0,0,0,16,14,10,,
Balance Sheet,Other Assets,77,,,,85,,,,116,,,,193,12,19,26,32,63,59,61,,
Balance Sheet,Total Assets,139,,,,158,,,,228,,,,439,20,29,35,40,90,88,85,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,13,,,,-2,,,,-6,,,,-50,,,3,5,-3,6,-1,,
Cash Flows,Cash from Investing Activity,-27,,,,15,,,,-13,,,,-92,,,-1,-1,9,-4,4,,
Cash Flows,Cash from Financing Activity,14,,,,-14,,,,19,,,,145,,,-2,-4,-6,-3,-2,,
Cash Flows,Net Cash Flow,1,,,,-1,,,,-0,,,,3,,,0,0,-1,-1,1,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,102,,,,73,,,,55,,,,50,75,71,79,77,95,112,99,,
Ratios,Inventory Days,121,,,,183,,,,201,,,,281,122,141,134,175,208,139,140,,
Ratios,Days Payable,78,,,,116,,,,126,,,,113,77,90,0,0,104,82,77,,
Ratios,Cash Conversion Cycle,145,,,,140,,,,131,,,,219,120,123,212,251,199,169,161,,
Ratios,Working Capital Days,115,,,,135,,,,140,,,,140,102,89,86,100,175,152,143,,
Ratios,ROCE %,15%,,,,-2%,,,,-7%,,,,-17%,,20%,,32%,,6%,-2%,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,68.12%,68.12%,68.12%,68.12%,66.16%,66.15%,66.15%,64.44%,62.40%,62.02%,59.72%,,,,,,,,58.11%,
Shareholding Pattern (Quarterly),FIIs,,,0.07%,0.00%,0.00%,0.04%,0.02%,0.00%,0.00%,0.01%,0.01%,0.24%,0.87%,,,,,,,,3.60%,
Shareholding Pattern (Quarterly),DIIs,,,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.99%,1.03%,3.08%,,,,,,,,2.92%,
Shareholding Pattern (Quarterly),Public,,,31.75%,31.88%,31.88%,31.84%,33.83%,33.85%,33.85%,35.55%,36.60%,36.71%,36.33%,,,,,,,,35.38%,
