Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,893,1296,502,1416,1339,1205,1649,843,898,1097,1123,1264,952,,,,,,,,
Quarterly Results,Expenses,871,1210,522,1282,1208,1116,1510,768,879,978,1022,1148,920,,,,,,,,
Quarterly Results,Operating Profit,22,86,-20,134,131,90,139,75,19,118,101,117,32,,,,,,,,
Quarterly Results,OPM %,2%,7%,-4%,9%,10%,7%,8%,9%,2%,11%,9%,9%,3%,,,,,,,,
Quarterly Results,Other Income,48,1168,19,63,-629,15,45,43,131,12,81,51,61,,,,,,,,
Quarterly Results,Interest,45,45,51,56,54,57,55,49,51,48,44,40,36,,,,,,,,
Quarterly Results,Depreciation,16,18,17,22,21,23,23,24,25,25,25,26,25,,,,,,,,
Quarterly Results,Profit before tax,8,1191,-70,119,-573,25,106,45,74,56,113,101,32,,,,,,,,
Quarterly Results,Tax %,14%,23%,-27%,13%,-25%,106%,37%,37%,-4%,48%,18%,20%,16%,,,,,,,,
Quarterly Results,Net Profit,7,913,-51,104,-427,-2,67,29,77,29,93,81,27,,,,,,,,
Quarterly Results,EPS in Rs,1.35,214.51,-8.65,16.46,-108.99,-5.77,8.44,3.19,17.87,2.18,19.31,12.97,4.72,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3590,,,,4553,,,,4595,,,,4436,7302,7613,7611,6377,7265,8103,3042,2404
Profit & Loss,Expenses,3351,,,,4215,,,,4233,,,,4068,7092,7313,7334,5905,6722,7783,3382,2369
Profit & Loss,Operating Profit,239,,,,338,,,,362,,,,368,210,300,277,472,542,320,-340,35
Profit & Loss,OPM %,7%,,,,7%,,,,8%,,,,8%,3%,4%,4%,7%,7%,4%,-11%,1%
Profit & Loss,Other Income,220,,,,616,,,,195,,,,205,138,71,50,23,113,-11,124,146
Profit & Loss,Interest,173,,,,207,,,,211,,,,168,380,318,419,440,404,488,278,200
Profit & Loss,Depreciation,67,,,,79,,,,95,,,,102,34,30,66,77,83,87,68,68
Profit & Loss,Profit before tax,218,,,,668,,,,251,,,,303,-66,23,-157,-22,169,-266,-562,-88
Profit & Loss,Tax %,22%,,,,19%,,,,32%,,,,24%,-14%,29%,-22%,-40%,14%,3%,37%,44%
Profit & Loss,Net Profit,171,,,,539,,,,171,,,,231,-57,14,-123,-13,146,-273,-773,-126
Profit & Loss,EPS in Rs,31.01,,,,113.33,,,,23.74,,,,39.18,-10.52,2.13,-27.40,-5.22,27.91,-68.57,-190.74,-37.35
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,-29%,94%,-7%,-19%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,42,,,,42,,,,42,,,,42,42,42,42,42,42,42,42,42
Balance Sheet,Reserves,325,,,,1539,,,,1652,,,,1814,975,965,1305,1325,1423,1110,299,154
Balance Sheet,Borrowings,2643,,,,2108,,,,1783,,,,717,3747,3434,5047,4299,4506,5235,3368,1851
Balance Sheet,Other Liabilities,3201,,,,1361,,,,1334,,,,2453,1284,1678,1617,1914,2279,2886,2845,3297
Balance Sheet,Total Liabilities,6211,,,,5050,,,,4811,,,,5026,6048,6118,8011,7580,8250,9273,6554,5344
Balance Sheet,Fixed Assets,1424,,,,1940,,,,1957,,,,868,450,488,1829,1793,1798,1835,1862,1431
Balance Sheet,CWIP,320,,,,19,,,,23,,,,4,282,424,102,143,147,154,168,78
Balance Sheet,Investments,1126,,,,1242,,,,1270,,,,1425,206,209,774,878,911,815,855,952
Balance Sheet,Other Assets,3341,,,,1848,,,,1561,,,,2729,5111,4998,5306,4767,5395,6469,3668,2883
Balance Sheet,Total Assets,6211,,,,5050,,,,4811,,,,5026,6048,6118,8011,7580,8250,9273,6554,5344
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,571,,,,95,,,,473,,,,511,919,839,-869,1097,293,-355,2635,1521
Cash Flows,Cash from Investing Activity,-137,,,,426,,,,3,,,,-122,-149,-286,-489,-40,-63,-103,-16,-171
Cash Flows,Cash from Financing Activity,-296,,,,-697,,,,-527,,,,-494,-952,-547,1363,-1003,-148,360,-2404,-1188
Cash Flows,Net Cash Flow,138,,,,-176,,,,-51,,,,-104,-182,6,5,54,82,-98,215,162
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,64,,,,63,,,,48,,,,7,188,159,197,198,170,176,266,69
Ratios,Inventory Days,78,,,,47,,,,38,,,,23,55,61,45,56,74,107,94,52
Ratios,Days Payable,91,,,,57,,,,41,,,,21,45,70,54,86,102,118,339,96
Ratios,Cash Conversion Cycle,52,,,,53,,,,45,,,,9,198,149,188,168,142,164,22,25
Ratios,Working Capital Days,-14,,,,49,,,,37,,,,57,194,153,177,158,148,152,22,-113
Ratios,ROCE %,13%,,,,10%,,,,8%,,,,13%,5%,7%,5%,8%,10%,5%,-5%,3%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,65.28%,65.28%,65.28%,65.28%,65.28%,65.28%,65.28%,65.28%,65.28%,65.21%,65.21%,65.21%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.84%,1.43%,1.10%,1.13%,1.09%,1.02%,1.58%,1.27%,1.08%,1.18%,2.52%,1.33%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.43%,1.08%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,0.09%,0.09%,0.09%,0.09%,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,32.17%,32.22%,32.62%,32.58%,32.62%,32.70%,32.13%,32.46%,33.55%,33.51%,32.18%,33.37%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,30017,32225,30908,30996,31697,32127,33845,37655,39757,45084,44277,46257,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,65.04%,,,,65.28%,,,,65.28%,,,,65.21%,,,,66.08%,66.08%,65.04%,65.04%,65.04%
Shareholding Pattern (Yearly),FIIs,1.01%,,,,1.13%,,,,1.27%,,,,1.33%,,,,0.41%,1.63%,2.21%,0.97%,0.90%
