Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,640,696,429,416,713,702,440,403,783,841,493,462,913,,,,,,,,
Quarterly Results,Expenses,498,548,413,388,568,586,423,390,620,686,473,447,723,,,,,,,,
Quarterly Results,Operating Profit,142,148,16,28,145,116,17,13,162,155,20,15,190,,,,,,,,
Quarterly Results,OPM %,22%,21%,4%,7%,20%,17%,4%,3%,21%,18%,4%,3%,21%,,,,,,,,
Quarterly Results,Other Income,2,-1,1,1,-6,-12,4,3,4,5,10,4,1,,,,,,,,
Quarterly Results,Interest,6,4,3,4,5,5,6,6,6,4,1,3,4,,,,,,,,
Quarterly Results,Depreciation,6,6,6,6,7,6,6,6,6,5,5,5,13,,,,,,,,
Quarterly Results,Profit before tax,131,137,8,19,126,93,9,4,154,152,24,10,173,,,,,,,,
Quarterly Results,Tax %,-1%,0%,-4%,-1%,-15%,-18%,31%,92%,3%,3%,12%,37%,1%,,,,,,,,
Quarterly Results,Net Profit,133,137,8,20,145,110,6,0,150,148,21,6,172,,,,,,,,
Quarterly Results,EPS in Rs,20.95,21.53,1.34,3.08,22.83,17.35,0.93,0.05,23.62,23.21,3.28,1.01,27.01,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2009,,,,2255,,,,2328,,,,2709,404,431,397,431,513,843,1767,1867
Profit & Loss,Expenses,1664,,,,1918,,,,2020,,,,2329,319,331,305,331,387,658,1446,1522
Profit & Loss,Operating Profit,345,,,,337,,,,308,,,,380,85,100,91,99,125,185,321,344
Profit & Loss,OPM %,17%,,,,15%,,,,13%,,,,14%,21%,23%,23%,23%,24%,22%,18%,18%
Profit & Loss,Other Income,10,,,,-5,,,,-0,,,,20,19,28,32,32,35,28,-33,-123
Profit & Loss,Interest,26,,,,16,,,,24,,,,12,0,0,0,1,2,30,140,84
Profit & Loss,Depreciation,24,,,,25,,,,24,,,,28,0,8,7,7,9,13,26,25
Profit & Loss,Profit before tax,306,,,,291,,,,260,,,,359,104,120,117,124,150,171,121,112
Profit & Loss,Tax %,-1%,,,,-7%,,,,-3%,,,,3%,5%,7%,10%,10%,9%,-0%,-17%,-6%
Profit & Loss,Net Profit,309,,,,310,,,,267,,,,347,98,111,105,111,137,171,142,119
Profit & Loss,EPS in Rs,48.54,,,,48.78,,,,41.94,,,,54.52,24.69,27.88,26.43,27.89,34.27,29.33,24.58,18.66
Profit & Loss,Dividend Payout %,10%,,,,10%,,,,12%,,,,11%,24%,22%,25%,23%,23%,17%,20%,27%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,64,,,,64,,,,64,,,,64,39,39,39,39,39,58,58,64
Balance Sheet,Reserves,4780,,,,5059,,,,5294,,,,5608,286,367,439,518,652,3329,3403,4504
Balance Sheet,Borrowings,387,,,,297,,,,329,,,,188,0,0,0,25,25,1569,1519,550
Balance Sheet,Other Liabilities,461,,,,413,,,,462,,,,582,99,102,89,100,112,503,610,548
Balance Sheet,Total Liabilities,5692,,,,5833,,,,6148,,,,6442,425,508,568,682,829,5459,5590,5666
Balance Sheet,Fixed Assets,4710,,,,4732,,,,4708,,,,5125,95,84,82,103,104,4567,4674,4667
Balance Sheet,CWIP,12,,,,13,,,,10,,,,15,0,0,0,0,0,10,4,4
Balance Sheet,Investments,27,,,,70,,,,78,,,,36,5,0,94,30,148,46,110,0
Balance Sheet,Other Assets,943,,,,1018,,,,1354,,,,1266,324,423,391,550,577,835,802,995
Balance Sheet,Total Assets,5692,,,,5833,,,,6148,,,,6442,425,508,568,682,829,5459,5590,5666
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,237,,,,92,,,,246,,,,380,91,69,90,77,69,149,259,287
